,SMILES
289,FC(F)=C(F)C(F)(F)Cl
290,[H]C(Cl)=C(F)C([H])(F)Cl
291,[H]C(F)(Cl)C(F)(Cl)C([H])(F)Cl
292,[H]C([H])(F)C(F)(Cl)C(F)(F)F
293,[H]C#CF
294,[H]C([H])(F)C([H])(F)C(F)(F)F
295,[H]C([H])(Cl)C(Cl)(Cl)C([H])(F)Cl
296,[H]C([H])(F)C(F)(F)F
297,[H]C(F)(F)C([H])(Cl)C(F)(Cl)Cl
298,[H]C(F)(F)C(F)(F)F
299,[H]C(F)(F)C(F)(Cl)C([H])(F)F
300,[H]C(F)(F)C(Cl)(Cl)Cl
301,[H]C(F)=C(F)C([H])([H])[H]
302,[H]C([H])=C(Cl)Cl
303,[H]C([H])=C([H])C([H])([H])Cl
304,[H]C(Cl)(C(F)(F)F)C(F)(F)F
305,[H]C(Cl)=C([H])C(Cl)(Cl)Cl
306,FC#CCl
307,[H]C(F)(Cl)C([H])(Cl)C(F)(Cl)Cl
308,[H]C(F)(F)C(F)(Cl)C(F)(F)F
309,[H]C([H])([H])C(F)(F)C(F)(F)F
310,[H]C([H])(Cl)C(F)(F)Cl
311,[H]C(Cl)(Cl)C([H])(F)C(F)(F)F
312,[H]C([H])=C(F)C([H])([H])F
313,[H]C(=C(F)Cl)C([H])([H])[H]
314,[H]C([H])(F)C(F)(Cl)C([H])(F)F
315,[H]C(Cl)=C(F)C([H])([H])F
316,[H]C(Cl)=C(F)C(F)(F)Cl
317,[H]C([H])(F)C(F)(F)C([H])(Cl)Cl
318,[H]C([H])([H])C(F)(F)C([H])(Cl)Cl
319,[H]C([H])([H])C([H])(F)C([H])([H])Cl
320,[H]C(=C(F)Cl)C([H])(F)Cl
321,[H]C(Cl)=C([H])C([H])([H])Cl
322,[H]C(F)(F)C(F)(Cl)C(Cl)(Cl)Cl
323,[H]C(F)(F)C(F)(F)C([H])(Cl)Cl
324,[H]C(=C(Cl)Cl)C([H])([H])[H]
325,[H]C(F)(F)C([H])(F)C(F)(F)F
326,[H]C(F)(C(F)(Cl)Cl)C(F)(Cl)Cl
327,ClC#CCl
328,[H]C([H])=C(Cl)C([H])(F)F
329,[H]C(F)=C(Cl)C(Cl)(Cl)Cl
330,[H]C(Cl)=C([H])C([H])(Cl)Cl
331,[H]C(Cl)=C(F)C([H])(F)F
332,[H]C(F)(Cl)C(Cl)=C(Cl)Cl
333,[H]C([H])([H])Cl
334,[H]C(F)(Cl)C([H])(Cl)Cl
335,[H]C(F)=C=C([H])Cl
336,[H]C(Cl)=C(Cl)C([H])([H])F
337,FC(Cl)(Cl)C(F)(Cl)Cl
338,[H]C(F)=C(Cl)C([H])([H])[H]
339,[H]C([H])([H])C(Cl)(Cl)C([H])(F)F
340,[H]C(F)(F)C([H])([H])Cl
341,FC(F)=C=C(Cl)Cl
342,[H]C(Cl)(Cl)C([H])(Cl)C(F)(F)F
343,[H]C([H])(Cl)C([H])(Cl)C(F)(F)Cl
344,[H]C([H])(F)C(F)(F)C([H])(F)Cl
345,[H]C([H])([H])C([H])(F)C([H])(Cl)Cl
346,[H]C(Cl)(Cl)C([H])(Cl)Cl
347,[H]C([H])(Cl)C(Cl)=C(F)Cl
348,[H]C([H])([H])C(F)=C(Cl)Cl
349,[H]C([H])(F)C(Cl)(Cl)C([H])([H])Cl
350,[H]C([H])=C(F)F
351,[H]C([H])(Cl)C([H])(F)C(Cl)(Cl)Cl
352,ClCl
353,[H]C([H])=C(F)C([H])([H])[H]
354,[H]C(=C(F)Cl)C([H])(Cl)Cl
355,[H]C(F)(F)C([H])(F)Cl
356,[H]C(F)=C(Cl)C(F)(F)F
357,[H]C(Cl)(C(F)(F)Cl)C(F)(F)Cl
358,[H]C(F)(C(F)(F)F)C(Cl)(Cl)Cl
359,[H]C([H])([H])C(F)(Cl)C([H])([H])F
360,[H]C(F)(Cl)C([H])(Cl)C(F)(F)Cl
361,[H]C([H])(Cl)C(F)(Cl)C([H])(F)Cl
362,[H]C(F)(F)C([H])([H])C(F)(F)F
363,[H]C(=C(F)Cl)C(F)(F)F
364,[H]C([H])(Cl)C(Cl)=C(F)F
365,[H]C([H])(Cl)C(Cl)(Cl)Cl
366,[H]C(Cl)=C(F)C(F)(Cl)Cl
367,[H]C([H])=C(Cl)C(Cl)(Cl)Cl
368,[H]C([H])(F)C([H])(Cl)C(F)(Cl)Cl
369,[H]C([H])(Cl)C([H])(F)C(F)(F)F
370,[H]C([H])(Cl)C(F)(F)C(F)(F)F
371,[H]C(F)(F)C([H])(F)C(F)(Cl)Cl
372,[H]C(F)=C(F)C([H])(F)Cl
373,[H]C([H])(Cl)C(F)=C(Cl)Cl
374,[H]C(F)=C(F)C([H])(F)F
375,[H]C(Cl)=C(F)F
376,[H]C(F)(F)C(F)=C(F)F
377,FC(F)(F)C(F)(F)C(F)(F)F
378,[H]C([H])(F)C([H])(Cl)C(Cl)(Cl)Cl
379,[H]C([H])([H])C(F)=C(F)Cl
380,[H]C(F)(F)C([H])(Cl)C([H])([H])Cl
381,[H]C(F)(F)C(F)(F)C(F)(F)F
382,[H]C([H])=C(F)C([H])(Cl)Cl
383,FC(F)(F)C(Cl)(Cl)C(F)(Cl)Cl
384,[H]C(F)=C([H])C([H])([H])F
385,[H]C([H])=C([H])C([H])(F)F
386,[H]C(Cl)(C(F)(F)F)C(Cl)(Cl)Cl
387,[H]C([H])(F)C([H])([H])F
388,[H]C(=C(Cl)Cl)C(F)(Cl)Cl
389,[H]C([H])=C(F)C([H])([H])Cl
390,[H]C(F)(F)C(F)(F)C([H])([H])Cl
391,FC(F)(F)Cl
392,FC(F)(F)C(Cl)(Cl)C(F)(F)Cl
393,[H]C([H])=C([H])C(F)(F)F
394,[H]C(Cl)=C([H])C([H])([H])F
395,[H]C([H])(Cl)C([H])(F)C(F)(F)Cl
396,[H]C([H])([H])F
397,[H]C(F)(F)C([H])(F)C([H])(Cl)Cl
398,[H]C([H])=C=C([H])[H]
399,[H]C(F)(F)C(F)(Cl)C([H])(Cl)Cl
400,FC(F)(F)C(F)(Cl)C(F)(Cl)Cl
401,[H]C(Cl)(Cl)C([H])(F)C([H])(Cl)Cl
402,[H]C(F)=C([H])C(F)(Cl)Cl
403,[H]C([H])(Cl)C(F)(F)F
404,[H]C(Cl)(Cl)C(Cl)=C(F)Cl
405,[H]C(F)=C(F)C([H])([H])Cl
406,[H]C(Cl)=C([H])C([H])([H])[H]
407,[H]C([H])([H])C([H])(Cl)C([H])(F)F
408,[H]C([H])([H])C([H])([H])C(F)(F)Cl
409,[H]C([H])([H])C(Cl)(Cl)C(F)(F)F
410,[H]C([H])(Cl)C([H])(F)C([H])(F)Cl
411,[H]C([H])=C(Cl)C([H])(F)Cl
412,[H]C([H])([H])C(F)=C(F)F
413,FC(Cl)=C=C(F)Cl
414,[H]C([H])(Cl)C([H])(F)C(F)(Cl)Cl
415,[H]C(F)(F)C(F)(F)Cl
416,FC(F)=C(Cl)C(F)(Cl)Cl
417,FC(F)(Cl)Cl
418,[H]C(F)(Cl)C(F)(Cl)C(F)(F)F
419,[H]C(Cl)=C(Cl)Cl
420,[H]C(F)(F)C(Cl)(Cl)C([H])(Cl)Cl
421,[H]C([H])(F)C(F)(F)C([H])([H])F
422,[H]C([H])(F)C(F)(Cl)C([H])(Cl)Cl
423,FC#CF
424,[H]C([H])([H])C([H])(F)F
425,[H]C([H])(F)C([H])([H])C(F)(Cl)Cl
426,[H]C(Cl)=C([H])C([H])(F)F
427,[H]C([H])(F)C(Cl)=C(F)F
428,FC(Cl)=C(Cl)C(F)(Cl)Cl
429,[H]C(Cl)=C(Cl)C([H])([H])[H]
430,[H]C([H])(F)C([H])(Cl)Cl
431,[H]C([H])(Cl)C([H])(Cl)C([H])([H])Cl
432,[H]C(F)(F)C([H])([H])C([H])(Cl)Cl
433,FC(Cl)=C(Cl)C(F)(F)F
434,[H]C(Cl)=C([H])Cl
435,FC(F)=C(F)C(F)(F)F
436,[H]C(F)=C(Cl)Cl
437,[H]C(=C(F)F)C([H])([H])[H]
438,[H]C(F)=C([H])Cl
439,[H]C(=C(F)Cl)C(F)(F)Cl
440,[H]C([H])(Cl)C(F)(Cl)C(F)(Cl)Cl
441,[H]C(F)(F)C(F)(Cl)C([H])([H])Cl
442,[H]C(Cl)=C(Cl)C([H])(Cl)Cl
443,[H]C(F)(F)C(F)(Cl)Cl
444,[H]C(Cl)(Cl)C([H])([H])C(F)(F)Cl
445,FC(F)(F)C(F)(F)C(Cl)(Cl)Cl
446,[H]C([H])(Cl)C(F)(F)C([H])(F)Cl
447,[H]C(F)(F)C([H])(F)C([H])([H])Cl
448,[H]C(F)(F)C([H])(F)C(Cl)(Cl)Cl
449,[H]C([H])=C(Cl)C([H])([H])[H]
450,[H]C(F)(F)C(F)(Cl)C(F)(Cl)Cl
451,FC(F)(F)C(F)(Cl)C(F)(F)Cl
452,[H]C(F)(F)C(F)(F)C([H])(F)Cl
453,[H]C(Cl)(Cl)C(F)(Cl)Cl
454,[H]C([H])(Cl)C([H])([H])C(F)(Cl)Cl
455,[H]C(F)(Cl)C(Cl)=C(F)F
456,[H]C([H])([H])C([H])(F)C([H])(F)Cl
457,[H]C(F)(F)C(F)(F)C(F)(Cl)Cl
458,[H]C([H])=C([H])C([H])([H])F
459,[H]C(=C(Cl)Cl)C([H])([H])Cl
460,[H]C([H])=C(F)C(F)(F)Cl
461,[H]C([H])([H])C([H])([H])C(F)(F)F
462,[H]C([H])([H])C(Cl)=C(Cl)Cl
463,[H]C([H])([H])C(Cl)(Cl)C([H])([H])Cl
464,[H]C(Cl)=C([H])C(F)(F)Cl
465,[H]C(Cl)=C(Cl)C([H])(F)F
466,[H]C(F)(F)C([H])(Cl)C([H])(Cl)Cl
467,[H]C([H])([H])C(Cl)(Cl)C([H])([H])[H]
468,ClC(Cl)(Cl)Cl
469,[H]C([H])(F)C(Cl)(Cl)C(F)(F)F
470,[H]C(F)(F)Cl
471,[H]C(F)=C(Cl)C([H])(F)Cl
472,[H]C(Cl)(Cl)C(F)(Cl)C(F)(F)Cl
473,[H]C(Cl)=C([H])C(F)(F)F
474,FC(F)(Cl)C(Cl)=C(Cl)Cl
475,[H]C(F)(Cl)C(F)(Cl)C(F)(Cl)Cl
476,[H]C(Cl)=C([H])C(F)(Cl)Cl
477,[H]C([H])(F)C([H])(F)C(F)(F)Cl
478,[H]C([H])(F)C([H])([H])C([H])(Cl)Cl
479,[H]C([H])(F)C([H])([H])C(F)(F)F
480,[H]C(F)(F)C(F)=C(F)Cl
481,[H]C([H])=C([H])C(F)(F)Cl
482,[H]C([H])([H])C([H])(Cl)C(F)(Cl)Cl
483,[H]C([H])([H])C([H])(F)C(F)(F)F
484,FC(F)(Cl)C(F)(F)Cl
485,[H]C(Cl)=C(F)C([H])(Cl)Cl
486,[H]Cl
487,[H]C(F)(C(F)(F)F)C(F)(F)F
488,[H]C([H])=C(F)Cl
489,[H]C(F)=C([H])C(Cl)(Cl)Cl
490,[H]C([H])=C(F)C(Cl)(Cl)Cl
491,FC(Cl)=C(F)Cl
492,[H]C([H])([H])C(F)(Cl)C([H])(F)Cl
493,[H]C(F)(F)C(Cl)=C(Cl)Cl
494,[H]C(F)(F)C(Cl)=C(F)Cl
495,[H]C([H])(C(F)(F)F)C(F)(F)F
496,[H]C([H])(F)C([H])(Cl)C([H])(F)Cl
497,[H]C(F)(Cl)C([H])(F)C(F)(Cl)Cl
498,[H]C([H])(Cl)C(F)(F)C([H])([H])Cl
499,[H]C(=C(Cl)Cl)C(F)(F)F
500,FC(F)(Cl)C(Cl)(Cl)Cl
501,[H]C([H])(F)C(F)(Cl)C(Cl)(Cl)Cl
502,[H]C(F)(F)C([H])([H])C(F)(Cl)Cl
503,[H]C([H])([H])C([H])(F)C(F)(F)Cl
504,[H]C(F)(Cl)C(Cl)(Cl)Cl
505,[H]C(F)=C([H])C([H])([H])[H]
506,[H]C([H])(F)C([H])([H])C([H])(F)Cl
507,[H]C([H])(F)C([H])(Cl)C([H])([H])Cl
508,[H]C(F)=C(F)Cl
509,FC(F)=C=C(F)Cl
510,FC(F)=C(F)Cl
511,[H]C([H])(F)C([H])([H])C(Cl)(Cl)Cl
512,[H]C(F)(Cl)C(Cl)(Cl)C(F)(F)Cl
513,[H]C([H])(F)C(Cl)=C(Cl)Cl
514,[H]C([H])(F)C(F)(Cl)C(F)(Cl)Cl
515,[H]C(=C(Cl)Cl)C([H])([H])F
516,[H]C(F)(F)C([H])(Cl)C([H])(F)F
517,[H]C([H])([H])C(Cl)(Cl)Cl
518,[H]C([H])=C(F)C([H])(F)F
519,[H]C([H])=C(F)C([H])(F)Cl
520,[H]C(F)(F)C(Cl)(Cl)C(F)(Cl)Cl
521,[H]C(Cl)(Cl)C(Cl)=C(F)F
522,[H]C([H])(F)C(F)(F)C(F)(Cl)Cl
523,[H]C(F)=C(F)C([H])([H])F
524,[H]C([H])(F)C(F)(F)Cl
525,[H]C(F)(F)C([H])([H])C(Cl)(Cl)Cl
526,[H]C([H])(F)C([H])([H])C([H])([H])F
527,[H]C([H])(F)C(F)=C(Cl)Cl
528,[H]C([H])([H])C(Cl)(Cl)C([H])(Cl)Cl
529,[H]C(F)(Cl)C(F)(F)C(Cl)(Cl)Cl
530,[H]C(Cl)=C([H])C([H])(F)Cl
531,[H]C([H])(Cl)C([H])(Cl)C(F)(Cl)Cl
532,FC(F)(Cl)C(F)(Cl)C(F)(Cl)Cl
533,[H]C([H])(F)C(Cl)(Cl)C([H])(F)Cl
534,[H]C(Cl)(C(F)(F)Cl)C(F)(Cl)Cl
535,[H]C([H])([H])C(F)(F)Cl
536,[H]C([H])([H])C([H])([H])C([H])(Cl)Cl
537,[H]C([H])([H])C(Cl)=C(F)Cl
538,[H]C(F)(F)C(Cl)=C(F)F
539,[H]C(F)(Cl)C(F)=C(F)Cl
540,FC(Cl)=C(F)C(Cl)(Cl)Cl
541,[H]C(=C(F)F)C(Cl)(Cl)Cl
542,[H]C([H])=C(Cl)C([H])([H])F
543,[H]C(Cl)(Cl)C(Cl)(Cl)C(F)(F)F
544,[H]C(F)=C(Cl)C([H])(Cl)Cl
545,[H]C([H])(F)C([H])(F)C([H])(F)Cl
546,[H]C([H])(F)Cl
547,[H]C([H])([H])C(Cl)(Cl)C([H])(F)Cl
548,[H]C([H])([H])C([H])(Cl)C([H])([H])[H]
549,FC(F)(F)C(F)(F)F
550,[H]C([H])(Cl)C(Cl)(Cl)C(F)(F)F
551,[H]C(F)(F)C([H])(F)C(F)(F)Cl
552,[H]C(Cl)(Cl)C(F)=C(F)F
553,[H]C([H])([H])C([H])([H])C(Cl)(Cl)Cl
554,[H]C([H])([H])C(F)(Cl)C(F)(Cl)Cl
555,[H]C(Cl)(Cl)C([H])([H])C(F)(F)F
556,[H]C(F)(C(F)(F)Cl)C(F)(Cl)Cl
557,[H]C(Cl)(Cl)C(F)(F)F
558,[H]C(F)(C(F)(F)Cl)C(F)(F)Cl
559,[H]C([H])(F)C(Cl)(Cl)C([H])(F)F
560,[H]C([H])(Cl)C([H])([H])C([H])(Cl)Cl
561,[H]C([H])(F)C(F)=C(F)Cl
562,[H]C(Cl)(Cl)C([H])(F)C(F)(F)Cl
563,[H]C([H])(Cl)C([H])([H])C(F)(F)Cl
564,FC(F)(Cl)C(F)(F)C(Cl)(Cl)Cl
565,[H]C([H])(F)C(F)(F)C(F)(F)F
566,[H]C([H])(Cl)C(F)=C(F)F
567,FC(F)(F)F
568,FC(=C(Cl)Cl)C(F)(Cl)Cl
569,[H]C([H])([H])C(F)(F)F
570,FC(F)(F)C(Cl)=C(Cl)Cl
571,FC(F)=C(Cl)C(Cl)(Cl)Cl
572,[H]C([H])(F)C(Cl)(Cl)C(F)(F)Cl
573,[H]C([H])(F)C([H])([H])C([H])([H])Cl
574,[H]C(F)(Cl)C(F)(F)C(F)(Cl)Cl
575,[H]C(=C(F)F)C([H])([H])Cl
576,[H]C(F)(Cl)C(F)(Cl)C(F)(F)Cl
577,[H]C([H])([H])C(F)(Cl)Cl
